,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99
70,2018-04-09,0.22361936047673225,,-0.4701518975198269,-0.56057592574507,,,0.08622319158166647,,0.22676438093185425,,0.15856522228568792,,,0.8104833625257015,0.8974567912518978,-0.4038541985792108,0.048111685551702976,,0.8939525336027145,,0.21717902179807425,,0.0468145152553916,-0.5508533120155334,,,0.36270949128083885,-0.817303734831512,0.2548495540395379
71,2018-04-10,0.03444328438490629,0.24071775749325752,,-0.44900114461779594,,,,,0.814608633518219,,,0.03286757227033377,,,,-0.33208708791062236,,0.663046358153224,0.840637007728219,,0.37915007304400206,,,0.8040314093232155,,-0.10159155586734414,,,0.10781854251399636
72,2018-04-11,,,,,0.5156228099949658,,0.06408305512741208,,,,,0.07696501351892948,,,,,,,-0.8908496461808681,,0.13761961681302637,,0.033932650461792946,-0.9424404297024012,,,0.7093967394903302,-0.8183716996572912,0.4556544772349298
73,2018-04-12,0.015145104378461838,0.23478644620627165,,-0.21727250702679157,,,0.05631932523101568,,0.13621164858341217,-0.37253246642649174,-0.090248995150129,0.02389815015097459,,-0.33678323635831475,,-0.20111046731472015,,0.12317987531423569,-0.9560981052927673,,-0.7443033729990324,,,,,,0.42582531785592437,-0.8173695020377636,0.2713197059929371
74,2018-04-13,0.013844557106494904,0.08286603353917599,,,,,,,0.6155816465616226,,-0.1528548039495945,0.04206890674928824,,0.9294907096773386,-0.8809865489602089,0.6115304362028837,,-0.13248787401244044,0.9067296721041203,,0.03759950411040336,0.9079247713088989,,0.8964303061366081,,-0.2211837349459529,0.0676555885002017,,0.41161276027560234
75,2018-04-16,0.07440340891480446,,,-0.07396032102406025,,,0.07782862056046724,,,,-0.3353201327845454,0.01493791677057743,0.019337872974574566,0.006498068571090698,,-0.19591413345187902,,,0.1713700294494629,,-0.6059005192946643,,,0.34445223212242126,,,,-0.2908559013158083,0.3150192881003022
76,2018-04-17,0.11081037390977144,0.1487918859347701,-0.6353466510772705,-0.3476196099072695,0.11105448240414262,0.39479819452390075,,,,,0.0005396017804741859,0.009488042443990707,,0.2326890523545444,,0.8822373002767563,,0.5500266551971436,-0.9125359766185284,,-0.15321563075607023,,0.07862993935123086,0.5408962164074183,-0.4561031758785248,-0.06072960048913956,-0.025321299210190773,0.05214117653667927,
77,2018-04-18,-0.022120897890999913,0.9073097351938486,,0.3417251305654645,,0.7614016924053431,,,0.4607224762439728,,-0.025515461340546608,,,,,-0.771825423464179,,0.06987881567329168,0.8684877417981625,,-0.1848623185263326,-0.9313095221295953,-0.0012972913682460785,0.6758195751657089,0.1486665904521942,,0.036761065013706684,-0.40518958680331707,-0.007048752158880234
78,2018-04-19,0.08426339970901608,0.3166249515488744,,,,,0.03406795673072338,,-0.9519768115133047,,-0.15994070144370198,0.052526216953992844,,0.20017455145716667,-0.480763723840937,-0.7906845140969381,,,0.6236045360565186,,0.01946539307634036,,,,,-0.09559181580940883,0.08254266693256795,,0.48481626994907856
79,2018-04-20,0.05382921484609445,0.05140725616365671,,-0.26750789023935795,,,,-0.09237554296851158,-0.915299367159605,,-0.3512535742484033,,,0.8413212653249502,,-0.07954469323158264,,-0.9495985966641456,,,-0.5406283481667439,-0.8459084399510175,,,0.030714210122823715,-0.11927968356758356,0.7676829248666763,-0.5121547281742096,
80,2018-04-23,,0.30182793410494924,,-0.4405271599534899,,,0.046502258628606796,,,,0.018862362951040268,,,,,-0.7136616924156746,0.26683624647557735,-0.47509709163568914,-0.9569187280721962,,0.08190010860562325,-0.7816003208281472,,,,,0.061600652523338795,-0.23198545072227716,0.16163782309740782
81,2018-04-24,,,,-0.6773178844402233,,,,,,,-0.5117029218624035,0.04094761796295643,,0.19982324074953794,-0.9379288298077881,-0.4664976743515581,,0.9143389537930489,0.9231323394924402,,-0.11630770028568804,-0.9537164002734547,,,,0.026035616407170892,0.3255201927386224,,
82,2018-04-25,0.12288640346378088,-0.017848104238510132,0.4877728160470724,-0.021302949637174606,0.04491867870092392,,,,,,-0.12260214673976104,,,0.49136354122310877,-0.9552245526574552,-0.934205399826169,,-0.1790380971506238,-0.9643486402928829,,-0.01992532890290022,-0.7179615392815322,0.029100917745381594,-0.37779049947857857,,,0.08290471602231264,-0.44131029886193573,0.11078481655567884
83,2018-04-26,0.345257509034127,,-0.12162404647096992,-0.38652452221140265,,,0.040888887364417315,,,-0.8092132799793035,0.4392098768148571,0.03449023514986038,,-0.008526125301917395,,-0.7726765112020075,,-0.9493604227900505,0.34971753414720297,,0.1604272173717618,-0.9461041502654552,,,,-0.6364716889802366,0.6321671167388558,,
84,2018-04-27,0.029359878040850163,,-0.7366490308195353,,,,,-0.030415041837841272,,,-0.2705804845318198,0.00882263295352459,,0.16331122629344463,,,,,-0.5011847019195557,,-0.3344685408519581,,,-0.5618509515188634,-0.3978009484708309,-0.41554742958396673,0.051406549755483866,,0.4253682396374643
85,2018-04-30,0.05380948632955551,,0.6676028156653047,,,,0.04765784787014127,,,-0.5235559940338135,0.1298022868577391,,,-0.33131246268749237,-0.05094813788309693,-0.8826610036194324,,,,,-0.07782781054265797,-0.41235969876870515,,-0.7868819604627788,0.05636390298604965,-0.12489717453718185,,0.18784665750960508,
86,2018-05-01,0.2666975187603384,,-0.5555854816921055,-0.5173094845376909,,,0.0694543574936688,,-0.9368223212659359,,-0.14886587765067816,,,0.8148174472153187,,,,0.3982832431793213,-0.9454316701740026,,-0.7849165135994554,-0.21842795472592116,-0.016575777856633066,,,,,-0.8414243240840733,
87,2018-05-02,0.21902011334896088,,-0.5185888074338436,-0.3346456396393478,0.31553027033805847,,0.08294365089386702,,-0.927816977724433,,,0.028530137613415718,,-0.6648374050855637,-0.13583701103925705,,,0.26117327995598316,-0.8841326038042704,,0.22116140136495233,0.03286719050568839,0.16191893024370074,-0.40290421806275845,,0.0004151267930865288,0.17737144883722067,,
88,2018-05-03,0.007565231993794441,-0.956705960445106,-0.5977436602115631,-0.7580228419974446,,,0.057620128616690636,,,-0.3258873686815302,,0.036772104911506176,0.23893707990646362,,,-0.4679534947499633,,-0.3734265905804932,,,-0.34180419038360316,-0.06177854537963867,,-0.9578943364322186,,-0.06471289694309235,-0.044024661369621756,-0.4113980084657669,0.6328230360522866
89,2018-05-04,0.15552887599915266,0.13146310299634933,,,,,,,,-0.5750452491144339,,0.0384293757379055,0.1969890557229519,-0.778997465968132,,-0.5478911995887756,,0.14683820959180593,,,-0.21885155669103065,0.21250902134407726,,-0.2796351909637451,,,0.07332996930927038,0.055139954667538404,
90,2018-05-07,,,,-0.5613900786265731,,,0.04768557846546173,0.39335507375653833,-0.8793687298893929,,,0.04732410702854395,,,,,,,-0.9166807788424194,,0.11068049818277359,0.09762518160277978,0.03673124127089977,,0.024230077862739563,0.05922994203865528,0.055619447492063046,-0.0017381561920046806,0.14731910033151507
91,2018-05-08,0.012160210870206356,,,-0.329153997823596,0.12475329567678273,,,-0.03606402222067118,0.24728673696517944,-0.9110416490584612,-0.2212326411778728,0.05265933275222778,,,-0.9544747187756002,-0.9506660271435976,,,0.11682260222733021,,-0.7894242455950007,,0.002389589208178222,-0.8450819700956345,,,,,
92,2018-05-09,0.019218580797314644,,,-0.5493567963130772,0.06871869636233896,,0.01448061689734459,,0.5369212031364441,-0.38282998092472553,-0.08526452537626028,0.0706247529014945,0.2410800438374281,,,,,,-0.9387421174906194,,-0.2731567928567529,,0.20274754241108894,-0.32012197375297546,-0.02886633574962616,-0.004604493733495474,,-0.18233837746083736,0.16749216336756945
93,2018-05-10,0.005534682422876358,,,-0.32716800458729267,,,0.0878577409312129,-0.003620840609073639,,,-0.2774840611964464,0.026337292976677418,,,-0.9366251681931317,,,-0.7092442978173494,,,-0.03374016610905528,0.6332642142660916,,-0.1230503749102354,0.09469825588166714,-0.27017647959291935,,-0.612361674507459,0.3226146465167403
94,2018-05-11,0.023695252370089293,,,,0.08237892854958773,,,-0.06285594776272774,-0.31371229887008667,,-0.04149298556149006,0.012804448138922453,-0.12553708179621026,0.16179266571998596,0.0028145285323262215,,,,0.8625874146819115,,0.038037499878555536,0.46950877306517214,0.06543984077870846,0.6615295261144638,,,,-0.8405029028654099,
95,2018-05-14,0.008385984227061272,,0.9224301828071475,,,0.37047748267650604,,0.06332804262638092,-0.8921969458460808,,-0.01571115106344223,0.058035437017679214,0.2410397958010435,,,-0.4058607202023268,,,,,-0.6541644569619426,0.3443020284175873,,,-0.019644885882735254,0.10142064304091036,,-0.9563350528478622,
96,2018-05-15,0.02780039981007576,,,,-0.4304605685174465,-0.4357906511674325,,-0.4620654908940196,-0.8284403458237648,,-0.21219293447211385,0.041333457455039024,,0.6535533210262656,,0.8871578834950924,,,-0.846563071012497,,-0.5821547165646085,,0.028040435165166855,-0.7671002740971744,,-0.0957147025813659,,-0.8047275114804506,0.20909889973700047
97,2018-05-16,0.020157454535365105,,-0.8239145446568727,,,0.6728014846642812,0.06722408696077764,0.1791491201147437,,,-0.3346999897621572,0.04325253749266267,,-0.42035158444195986,-0.22329058358445764,-0.9378310684114695,,-0.31961030373349786,-0.9617381859570742,,-0.38789803832769393,,,-0.1842093514278531,,0.02901067864149809,,-0.35172367095947266,
98,2018-05-17,,,,0.15202814526855946,-0.042344766203314066,,0.062408102210611105,,,,,,,-0.5707816518843174,0.41694560647010803,-0.20110777765512466,,0.5132615733891726,0.9086789945140481,-0.4486553631722927,-0.25592918929760344,,,,,-0.2552696536295116,,-0.15790771110914648,0.2661412004381418
99,2018-05-18,-0.001055743545293808,,,,,0.7861448973417282,0.09488960262387991,,-0.9404574446380138,,,,0.05119148828089237,,-0.8899501338601112,,,-0.9550797748379409,0.24977046251296997,,-0.9369773981161416,,,-0.9625266706570983,0.5055600292980671,-0.18812650721520185,,-0.9488146845251322,0.26793063757941127
100,2018-05-21,0.041512465104460716,,,-0.5894377715885639,,,0.06956289413695534,,,,-0.22779050841927528,0.047393154352903366,,,,,,,-0.41045963764190674,,-0.46247831254731864,-0.008736364543437958,,,-0.2143687542527914,,0.007491979748010635,-0.6023489134386182,0.08989013452082872
101,2018-05-22,0.019133757799863815,,,-0.5014603044837713,0.1707197967916727,,0.06269641383551061,,0.8226884081959724,,-0.24859066680073738,0.030681834556162357,,,-0.1405841326341033,-0.3108296818099916,,-0.33842892246320844,-0.9581338763237,,-0.8392008505761623,,0.042287762742489576,-0.007272698916494846,,,,-0.9213852267712355,
102,2018-05-23,,0.13872624654322863,-0.32551997900009155,-0.31672187126241624,,,0.06671778485178947,,,,-0.4781945866998285,0.059265052434057,,,,-0.8747354719089344,,-0.9300712812691927,,,-0.8963607037439942,,0.14533126167953014,-0.9653348298743367,-0.4387478451244533,-0.3677099593915045,,-0.4032307875342667,0.07760050799697638
103,2018-05-24,-0.325836886651814,0.19745437428355217,0.04802107159048319,-0.6570848487317562,,,0.09416022221557796,,,,-0.6567167621105909,0.037069376868506275,-0.01937946304678917,,-0.8459855755791068,-0.7899515589815564,,,,,-0.7601864663301967,0.9227861911058426,,,-0.22688678931444883,-0.2387592727318406,,-0.3537960690446198,0.032960460521280766
104,2018-05-25,,,,,,,0.05733419116586447,,,,-0.04938503308221698,,,,-0.8759721186943352,-0.7041763038141653,,,-0.46812727581709623,,-0.7074613573029638,,,-0.9425988048315048,-0.07973584905266762,-0.13546170853078365,,-0.14795489508348206,
105,2018-05-28,,,,,-0.017131794709712267,,0.07685505133122206,,0.28606510162353516,,,,,,-0.8439466208219528,,,,,,-0.4946350434329361,0.09493407234549522,,-0.9649370182305574,-0.17967364424839616,0.07276800274848938,,-0.08232167270034552,
106,2018-05-29,,,,,,,0.06848430400714278,,0.29197514057159424,-0.2038797652348876,-0.4967261776328087,,,,,-0.9473544750362635,,,-0.9480630410835147,,-0.7476634797640145,,,-0.4159562364220619,0.032815320417284966,,,-0.35233021527528763,
107,2018-05-30,,,,-0.1721578761935234,0.16146193630993366,,0.06497732945717871,-0.07400270877406001,-0.925259055569768,,,,,-0.9427142320200801,-0.9624042892828584,,,0.6211943328380585,,,-0.4401731723919511,-0.5538091831840575,-0.019119427539408207,,-0.005266431098182996,0.15276003070175648,,-0.9313181452453136,
108,2018-05-31,-0.02823416143655777,,,-0.4560365730430931,0.05753515288233757,,0.06501515547279269,0.5499373953789473,-0.8418443500995636,-0.5421750163659453,-0.930531719699502,,,,-0.920647107064724,-0.6789782473351806,,-0.32403271785005927,,,-0.7077866277790495,,,,-0.08319061994552612,0.012761900201439857,,0.4581163806530337,
109,2018-06-01,0.05444376077502966,,,-0.48706709779798985,,,,,,-0.1416378617286682,0.0027084934214750924,,,,0.819049522280693,-0.42841397745845217,,,0.7457699850201607,,-0.8732884591445327,0.49278634786605835,,0.25156471133232117,-0.13907176544889807,-0.06037087179720402,,,
110,2018-06-04,,,0.6183116850443184,-0.271219614893198,,,0.10608404665254056,,,,-0.4581956723704934,,0.11835893616080284,,0.6226126793771982,,,0.9197447299957275,0.906647140160203,,-0.7338670031167567,,0.011682111769914627,,-0.15595559061815342,-0.02563656121492386,,-0.11337114684283733,
